mpid,category,
mp-649982,2D,
mp-758203,2D,
mp-759873,2D,
mp-642227,2D,
mp-12826,2D,
mp-28109,2D,
mp-7784,2D,
mp-1880,2D,
mp-23281,2D,
mp-561533,2D,
mp-757111,2D,
mp-3439,2D,
mp-7716,2D,
mp-27238,2D,
mp-30002,2D,
mp-685088,2D,
mp-29941,2D,
mp-28479,2D,
mp-504934,2D,
mp-33112,2D,
mp-28480,2D,
mp-685209,2D,
mp-31024,2D,
mp-542449,2D,
mp-31025,2D,
mp-29315,2D,
mp-27513,2D,
mp-8616,2D,
mp-13383,2D,
mp-546279,2D,
mp-27507,2D,
mp-23309,2D,
mp-756748,2D,
mp-24081,2D,
mp-625150,2D,
mp-559760,2D,
mp-6999,2D,
mp-27532,2D,
mp-770811,2D,
mp-674984,2D,
mp-626037,2D,
mp-558672,2D,
mp-769028,2D,
mp-627632,2D,
mp-1863,2D,
mp-16053,2D,
mp-29803,2D,
mp-2798,2D,
mp-9996,2D,
mp-2755,2D,
mp-573109,2D,
mp-557438,2D,
mp-27976,2D,
mp-29327,2D,
mp-781997,2D,
mp-757145,2D,
mp-782002,2D,
mp-754217,2D,
mp-541073,2D,
mp-9399,2D,
mp-38605,2D,
mp-766947,2D,
mp-36381,2D,
mp-27947,2D,
mp-696993,2D,
mp-566527,2D,
mp-673118,2D,
mp-1443,2D,
mp-566092,2D,
mp-2706,2D,
mp-5045,2D,
mp-554096,2D,
mp-27194,2D,
mp-2097,2D,
mp-20815,2D,
mp-690702,2D,
mp-555838,2D,
mp-4252,2D,
mp-570370,2D,
mp-2231,2D,
mp-1170,2D,
mp-554599,2D,
mp-691,2D,
mp-665,2D,
mp-542967,2D,
mp-653697,2D,
mp-28667,2D,
mp-680343,2D,
mp-28375,2D,
mp-7814,2D,
mp-28308,2D,
mp-541070,2D,
mp-541183,2D,
mp-8435,2D,
mp-8436,2D,
mp-14474,2D,
mp-8732,2D,
mp-542634,2D,
mp-28934,2D,
mp-756593,2D,
mp-29412,2D,
mp-23238,2D,
mp-31015,2D,
mp-29116,2D,
mp-505206,2D,
mp-505132,2D,
mp-29117,2D,
mp-677597,2D,
mp-505133,2D,
mp-510426,2D,
mp-28846,2D,
mp-8848,2D,
mp-29027,2D,
mp-9391,2D,
mp-622009,2D,
mp-19810,2D,
mp-8998,2D,
mp-1984,2D,
mp-30527,2D,
mp-500,2D,
mp-29652,2D,
mp-1967,2D,
mp-28691,2D,
mp-17287,2D,
mp-14815,2D,
mp-692,2D,
mp-542222,2D,
mp-31007,2D,
mp-27924,2D,
mp-27923,2D,
mp-23293,2D,
mp-642807,2D,
mp-504474,2D,
mp-555390,2D,
mp-28029,2D,
mp-28026,2D,
mp-9481,2D,
mp-561392,2D,
mp-625526,2D,
mp-2285,2D,
mp-602,2D,
mp-29185,2D,
mp-782,2D,
mp-399,2D,
mp-228,2D,
mp-4906,2D,
mp-22693,2D,
mp-21922,2D,
mp-638749,2D,
mp-9897,2D,
mp-541180,2D,
mp-29320,2D,
mp-27127,2D,
mp-29215,2D,
mp-8628,2D,
mp-27741,2D,
mp-625630,2D,
mp-2125,2D,
mp-558387,2D,
mp-573321,2D,
mp-11693,2D,
mp-22945,2D,
mp-542180,2D,
mp-28066,2D,
mp-27652,2D,
mp-27697,2D,
mp-28067,2D,
mp-540940,2D,
mp-623058,2D,
mp-12527,2D,
mp-622198,2D,
mp-626550,2D,
mp-757480,2D,
mp-28913,2D,
mp-27785,2D,
mp-28214,2D,
mp-27849,2D,
mp-23002,2D,
mp-28116,2D,
mp-569756,2D,
mp-22992,2D,
mp-765864,2D,
mp-771460,2D,
mp-780260,2D,
mp-27848,2D,
mp-775831,2D,
mp-771787,2D,
mp-773280,2D,
mp-33046,2D,
mp-34289,2D,
mp-27850,2D,
mp-753059,2D,
mp-753858,2D,
mp-674350,2D,
mp-20459,2D,
mp-2156,2D,
mp-9920,2D,
mp-2194,2D,
mp-760599,2D,
mp-754246,2D,
mp-1907,2D,
mp-9344,2D,
mp-773510,2D,
mp-557950,2D,
mp-558068,2D,
mp-553909,2D,
mp-558338,2D,
mp-675275,2D,
mp-540818,2D,
mp-551470,2D,
mp-667,2D,
mp-29690,2D,
mp-558279,2D,
mp-568020,2D,
mp-2753,2D,
mp-9622,2D,
mp-13829,2D,
mp-541202,2D,
mp-690725,2D,
mp-541201,2D,
mp-569129,2D,
mp-7038,2D,
mp-9272,2D,
mp-541487,2D,
mp-30058,2D,
mp-9251,2D,
mp-780425,2D,
mp-555236,2D,
mp-13385,2D,
mp-754969,2D,
mp-772295,2D,
mp-29671,2D,
mp-27439,2D,
mp-707273,2D,
mp-31013,2D,
mp-510128,2D,
mp-27980,2D,
mp-31256,2D,
mp-573810,2D,
mp-705486,2D,
mp-28939,2D,
mp-27153,2D,
mp-27762,2D,
mp-27536,2D,
mp-640563,2D,
mp-555173,2D,
mp-27763,2D,
mp-865428,2D,
mp-504922,2D,
mp-12406,2D,
mp-28299,2D,
mp-9429,2D,
mp-27723,2D,
mp-8357,2D,
